epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,867.065,1.0558,0.93257,1.02891,0.85593,0.67353,0.74726,0.51735,0.97953,0.66716,1.00355,0.000555011,0.000555011,0.000555011
2,1401.76,0.95742,0.64555,1.00394,0.86866,0.68713,0.77281,0.54568,0.97235,0.63958,1.00809,0.0010557,0.0010557,0.0010557
3,1947.56,0.93417,0.60356,0.99744,0.87822,0.69875,0.78238,0.56076,0.93623,0.58175,0.99123,0.00150138,0.00150138,0.00150138
4,2485.29,0.90718,0.57409,0.98712,0.87744,0.70654,0.79147,0.57307,0.92244,0.57381,0.99282,0.00141945,0.00141945,0.00141945
5,3027.79,0.88417,0.55294,0.978,0.88691,0.71214,0.79712,0.58369,0.88874,0.55212,0.97752,0.00133693,0.00133693,0.00133693
6,3556.7,0.86368,0.53576,0.9697,0.88733,0.71756,0.798,0.58647,0.88463,0.54024,0.97994,0.00125442,0.00125442,0.00125442
7,4093.1,0.84637,0.52065,0.96249,0.8929,0.72251,0.79889,0.58872,0.8768,0.53109,0.97482,0.0011719,0.0011719,0.0011719
8,4631.34,0.83097,0.5079,0.9556,0.89207,0.72291,0.80056,0.59211,0.88107,0.52764,0.9788,0.00108938,0.00108938,0.00108938
9,5174.36,0.81746,0.4966,0.94976,0.89677,0.72576,0.8055,0.59667,0.86849,0.51518,0.97196,0.00100687,0.00100687,0.00100687
10,5727.14,0.80282,0.48558,0.94318,0.89431,0.72883,0.80675,0.59915,0.8643,0.51273,0.97336,0.000924352,0.000924352,0.000924352
11,6277.77,0.79113,0.47543,0.93734,0.89861,0.72963,0.8066,0.59927,0.86057,0.50562,0.97195,0.000841835,0.000841835,0.000841835
12,6826.41,0.77366,0.4624,0.92985,0.90047,0.72923,0.81275,0.60714,0.85932,0.50029,0.97369,0.000759318,0.000759318,0.000759318
13,7358.48,0.76156,0.45369,0.92432,0.90169,0.72944,0.80901,0.60459,0.85955,0.49196,0.97299,0.000676802,0.000676802,0.000676802
14,7904.77,0.74537,0.44217,0.91704,0.90008,0.73198,0.80965,0.60489,0.85988,0.49315,0.97411,0.000594286,0.000594286,0.000594286
15,8432.82,0.73012,0.43144,0.91034,0.90234,0.73305,0.81159,0.60672,0.859,0.48873,0.97447,0.000511769,0.000511769,0.000511769
16,8976.17,0.71431,0.42059,0.9034,0.90281,0.73165,0.81016,0.60488,0.85849,0.48608,0.97579,0.000429253,0.000429253,0.000429253
17,9527.32,0.69773,0.40981,0.89666,0.90178,0.73248,0.81409,0.60963,0.8612,0.48579,0.97806,0.000346736,0.000346736,0.000346736
18,10078.9,0.67971,0.39889,0.88997,0.90216,0.73239,0.81079,0.60609,0.86378,0.48544,0.98063,0.00026422,0.00026422,0.00026422
19,10617,0.66331,0.38953,0.88333,0.90178,0.73655,0.81225,0.60706,0.86483,0.48452,0.98401,0.000181703,0.000181703,0.000181703
20,11158.9,0.64632,0.38056,0.87729,0.90234,0.73335,0.81027,0.60582,0.86677,0.48343,0.98712,9.91865e-05,9.91865e-05,9.91865e-05
