epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,919.671,1.17792,1.00852,1.06289,0.82603,0.59419,0.66933,0.4458,1.1012,0.74949,1.0423,0.000555011,0.000555011,0.000555011
2,1493.98,1.06122,0.71587,1.02999,0.84381,0.60881,0.70655,0.48785,1.05301,0.70519,1.02736,0.0010557,0.0010557,0.0010557
3,2065.51,1.02625,0.66779,1.01859,0.85624,0.62859,0.72919,0.50902,1.0263,0.64783,1.00883,0.00150138,0.00150138,0.00150138
4,2622.81,0.99431,0.63523,1.00578,0.85555,0.64668,0.72646,0.50438,1.00847,0.6347,1.01067,0.00141945,0.00141945,0.00141945
5,3174.25,0.96422,0.60934,0.99369,0.86668,0.65197,0.74261,0.52615,0.9771,0.60227,0.99972,0.00133693,0.00133693,0.00133693
6,3726.21,0.94159,0.58936,0.9842,0.87322,0.65728,0.751,0.534,0.96826,0.59441,0.9925,0.00125442,0.00125442,0.00125442
7,4277.7,0.92098,0.57182,0.97629,0.87445,0.66369,0.75278,0.53873,0.96035,0.58336,0.99399,0.0011719,0.0011719,0.0011719
8,4829.35,0.90149,0.55632,0.96776,0.87678,0.66749,0.75145,0.53495,0.95307,0.57359,0.98816,0.00108938,0.00108938,0.00108938
9,5379.79,0.88607,0.54324,0.96147,0.88203,0.66975,0.75766,0.54405,0.94345,0.56197,0.98876,0.00100687,0.00100687,0.00100687
10,5941.37,0.87035,0.53041,0.95459,0.8825,0.67454,0.76307,0.55043,0.93364,0.55281,0.98357,0.000924352,0.000924352,0.000924352
11,6491.4,0.85555,0.5198,0.94715,0.88534,0.67492,0.76706,0.55308,0.93334,0.5508,0.98219,0.000841835,0.000841835,0.000841835
12,7039.71,0.83799,0.50597,0.93977,0.88709,0.67451,0.76685,0.55501,0.93144,0.54648,0.98239,0.000759318,0.000759318,0.000759318
13,7590.38,0.82198,0.49396,0.93264,0.88767,0.67848,0.76515,0.55352,0.927,0.53969,0.98366,0.000676802,0.000676802,0.000676802
14,8139.05,0.80538,0.48217,0.92554,0.88842,0.68027,0.76354,0.5518,0.92458,0.53979,0.98318,0.000594286,0.000594286,0.000594286
15,8689.36,0.7913,0.47159,0.91958,0.88797,0.68102,0.76758,0.55637,0.92341,0.53301,0.98394,0.000511769,0.000511769,0.000511769
16,9258.43,0.7755,0.46066,0.91266,0.88795,0.6816,0.76587,0.55424,0.92552,0.52851,0.9871,0.000429253,0.000429253,0.000429253
17,9811.4,0.75726,0.44913,0.9052,0.88531,0.68494,0.77064,0.55899,0.92617,0.53106,0.98866,0.000346736,0.000346736,0.000346736
18,10361.1,0.73941,0.43824,0.89879,0.88688,0.68384,0.7666,0.55484,0.92667,0.53075,0.99093,0.00026422,0.00026422,0.00026422
19,10906.9,0.72273,0.42874,0.89222,0.88888,0.68458,0.76858,0.55709,0.92926,0.52954,0.99443,0.000181703,0.000181703,0.000181703
20,11453.5,0.70626,0.41944,0.8864,0.88883,0.68454,0.7685,0.55626,0.92947,0.52859,0.99664,9.91865e-05,9.91865e-05,9.91865e-05
