epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,588.691,1.41194,1.1468,1.13992,0.76197,0.51478,0.59551,0.34603,1.39721,0.92743,1.13311,0.000555011,0.000555011,0.000555011
2,1168.29,1.37116,0.89693,1.12583,0.77451,0.5329,0.61918,0.36019,1.36306,0.87741,1.11883,0.0010557,0.0010557,0.0010557
3,1737.22,1.3448,0.85401,1.11445,0.77389,0.53934,0.62236,0.36171,1.38967,0.86426,1.12378,0.00150138,0.00150138,0.00150138
4,2303.25,1.31511,0.81745,1.09935,0.78589,0.5446,0.63406,0.37484,1.34515,0.82242,1.11027,0.00141945,0.00141945,0.00141945
5,2883.73,1.27728,0.78262,1.08163,0.78635,0.55483,0.64034,0.38499,1.30801,0.79601,1.09187,0.00133693,0.00133693,0.00133693
6,3437.58,1.24842,0.75699,1.06688,0.78847,0.56683,0.64978,0.39187,1.28814,0.77872,1.08109,0.00125442,0.00125442,0.00125442
7,3981.09,1.22239,0.73485,1.05498,0.80138,0.56586,0.65411,0.39778,1.28478,0.75908,1.08259,0.0011719,0.0011719,0.0011719
8,4517.79,1.20065,0.71772,1.04406,0.79614,0.56792,0.65785,0.4021,1.27052,0.75247,1.07164,0.00108938,0.00108938,0.00108938
9,5052.83,1.17646,0.69848,1.03309,0.79784,0.57618,0.66243,0.40384,1.26871,0.74508,1.07151,0.00100687,0.00100687,0.00100687
10,5600.51,1.15744,0.68246,1.02391,0.80337,0.57657,0.66419,0.40541,1.26203,0.73613,1.06732,0.000924352,0.000924352,0.000924352
11,6151.76,1.13647,0.66582,1.01414,0.80336,0.57927,0.66665,0.40932,1.26025,0.72539,1.0692,0.000841835,0.000841835,0.000841835
12,6717.27,1.11512,0.65016,1.00461,0.80609,0.58067,0.66952,0.41083,1.25431,0.72532,1.06778,0.000759318,0.000759318,0.000759318
13,7272.41,1.09501,0.6365,0.99605,0.80896,0.58066,0.67123,0.41293,1.25457,0.71822,1.06754,0.000676802,0.000676802,0.000676802
14,7823.05,1.07333,0.61943,0.98589,0.80735,0.58579,0.67205,0.41188,1.25752,0.71959,1.06992,0.000594286,0.000594286,0.000594286
15,8372.68,1.05396,0.60692,0.97788,0.8079,0.58211,0.66984,0.41169,1.25506,0.71596,1.07054,0.000511769,0.000511769,0.000511769
16,8922.13,1.0315,0.59188,0.96838,0.81047,0.58179,0.67,0.41185,1.25983,0.71669,1.07347,0.000429253,0.000429253,0.000429253
17,9475.39,1.0103,0.57758,0.95977,0.80677,0.58672,0.67176,0.41089,1.26052,0.71655,1.07558,0.000346736,0.000346736,0.000346736
18,10017.6,0.98701,0.56353,0.9512,0.81191,0.58505,0.67181,0.41056,1.26511,0.71665,1.08055,0.00026422,0.00026422,0.00026422
19,10570.5,0.96617,0.55128,0.94312,0.80727,0.58433,0.669,0.40869,1.26734,0.71931,1.08293,0.000181703,0.000181703,0.000181703
20,11118.7,0.94612,0.53967,0.93609,0.81167,0.58322,0.66915,0.40888,1.26797,0.7208,1.08609,9.91865e-05,9.91865e-05,9.91865e-05
